,Tiempo (s),Voltaje total (num),Voltaje caida sobre R 0Ohm (num),Corriente (num),Voltaje diodo (num))
31630,1.647438735383734,,,-1.0174008917182945e-06,-0.198516845703125
31631,1.6474908200734395,,,-1.0200700676475947e-06,-0.179168701171875
31632,1.647542904763145,,,-1.0205149303024782e-06,-0.159149169921875
31633,1.6475949894528505,,,-1.0156214410987609e-06,-0.138427734375
31634,1.647647074142556,,,-1.0089485012755102e-06,-0.117401123046875
31635,1.6476991588322614,,,-1.0107279518950438e-06,-0.09686279296875
31636,1.6477512435219668,,,-1.0102830892401604e-06,-0.075927734375
31637,1.6478033282116722,,,-1.0058344626913265e-06,-0.054595947265625
31638,1.6478554129013778,,,-9.991615228680759e-07,-0.033203125
31639,1.6479074975910832,,,-9.978269349034257e-07,-0.011993408203125
31640,1.6479595822807886,,,-9.960474842838922e-07,0.009490966796875
31641,1.648011666970494,,,-9.938231710094751e-07,0.031219482421875
31642,1.6480637516601997,,,-9.907091324252916e-07,0.052886962890625
31643,1.648115836349905,,,-9.902642697704082e-07,0.07464599609375
31644,1.6481679210396105,,,-9.893745444606415e-07,0.09649658203125
31645,1.648220005729316,,,-9.87595093841108e-07,0.118133544921875
31646,1.6482720904190213,,,-9.849259179118077e-07,0.139434814453125
31647,1.648324175108727,,,-9.791427033983237e-07,0.16094970703125
31648,1.6483762597984324,,,-9.73804351539723e-07,0.182373046875
31649,1.6484283444881378,,,-9.729146262299563e-07,0.20355224609375
31650,1.6484804291778432,,,-9.75138939504373e-07,0.22442626953125
31651,1.6485325138675488,,,-9.746940768494898e-07,0.24603271484375
31652,1.6485845985572543,,,-9.733594888848397e-07,0.2672119140625
31653,1.6486366832469597,,,-9.70245450300656e-07,0.287353515625
31654,1.648688767936665,,,-9.542303947248542e-07,0.305938720703125
31655,1.6487408526263705,,,-9.079646786169825e-07,0.323822021484375
31656,1.6487929373160761,,,-8.336726152514578e-07,0.339202880859375
31657,1.6488450220057815,,,-7.317990672831633e-07,0.351348876953125
31658,1.648897106695487,,,-5.992299961279154e-07,0.360443115234375
31659,1.6489491913851924,,,-4.2662328603316325e-07,0.36865234375
31660,1.649001276074898,,,-2.3266316850400874e-07,0.374603271484375
31661,1.6490533607646034,,,-3.114038584183674e-08,0.3782958984375
31662,1.6491054454543088,,,1.7438616071428571e-07,0.380645751953125
31663,1.6491575301440142,,,3.9281372426202625e-07,0.384368896484375
31664,1.6492096148337196,,,6.06792661260933e-07,0.387420654296875
31665,1.6492616995234253,,,8.092051692328717e-07,0.38922119140625
31666,1.6493137842131307,,,1.0036101494169097e-06,0.39031982421875
31667,1.649365868902836,,,1.2069123826986153e-06,0.393463134765625
31668,1.6494179535925415,,,1.405765989431487e-06,0.395721435546875
31669,1.6494700382822471,,,1.5926083044825073e-06,0.396484375
